SNO.,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS
0,1/1/2011,46.42,122.59,2029,2000
1,1/2/2011,46.54,122.68,3084,1490
2,1/3/2011,46.64,122.75,2776,1491
3,1/4/2011,46.69,122.79,2311,1491
4,1/5/2011,46.7,122.8,1847,1491
5,1/6/2011,46.74,122.83,2156,1491
6,1/7/2011,46.76,122.84,1847,1491
7,1/8/2011,46.78,122.86,2002,1491
8,1/9/2011,46.77,122.85,1537,1491
9,1/10/2011,46.74,122.83,1382,1491
10,1/11/2011,46.7,122.8,1228,1491
11,1/12/2011,46.45,122.61,1530,4272
12,1/13/2011,46.45,122.61,1530,4272
13,1/14/2011,46.13,122.37,1667,5183
14,1/15/2011,45.77,122.1,1184,5164
15,1/16/2011,45.45,121.86,1651,5123
16,1/17/2011,45.17,121.65,2103,5104
17,1/18/2011,44.95,121.48,2694,5089
18,1/19/2011,44.69,121.28,2205,5055
19,1/20/2011,44.44,121.09,2351,5049
20,1/21/2011,44.2,120.9,2347,5014
21,1/22/2011,43.94,120.7,2211,4998
22,1/23/2011,43.68,120.5,2195,4982
23,1/24/2011,43.45,120.32,2455,4946
24,1/25/2011,43.16,120.09,1709,4941
25,1/26/2011,42.59,119.64,1874,4891
26,1/27/2011,42.59,119.64,1874,4891
27,1/28/2011,42.34,119.44,2149,4618
28,1/29/2011,42.05,119.21,1682,4844
29,1/30/2011,41.79,119,1958,4830
30,1/31/2011,41.56,118.81,2277,4802
31,2/1/2011,41.3,118.6,1987,4796
32,2/2/2011,40.98,118.34,872,4404
33,2/3/2011,40.66,118.08,500,4030
34,2/4/2011,40.48,117.93,703,2639
35,2/5/2011,40.42,117.88,570,1097
36,2/6/2011,40.35,117.82,432,1097
37,2/7/2011,40.29,117.77,570,1097
38,2/8/2011,40.21,117.7,386,1191
39,2/9/2011,40.12,117.63,442,1246
40,2/10/2011,40.04,117.56,442,1246
41,2/11/2011,39.94,117.48,287,1230
42,2/12/2011,39.85,117.4,272,1215
43,2/13/2011,39.64,117.23,304,2495
44,2/14/2011,39.32,116.96,392,3957
45,2/15/2011,38.97,116.66,504,4407
46,2/16/2011,38.63,116.37,621,4388
47,2/17/2011,38.27,116.06,330,4368
48,2/18/2011,37.91,115.75,438,4401
49,2/19/2011,37.55,115.43,295,4373
50,2/20/2011,37.18,115.11,342,4420
51,2/21/2011,36.81,114.78,264,4409
52,2/22/2011,36.44,114.45,274,4387
53,2/23/2011,36.09,114.14,522,4376
54,2/24/2011,35.86,113.93,1823,4364
55,2/25/2011,35.61,113.7,1597,4353
56,2/26/2011,35.38,113.49,1839,4342
57,2/27/2011,35.13,113.26,1574,4330
58,2/28/2011,34.85,113,1187,4322
59,3/1/2011,34.51,112.69,635,4314
60,3/2/2011,34.17,112.37,500,4302
61,3/3/2011,33.83,112.05,500,4290
62,3/4/2011,33.5,111.73,565,4281
63,3/5/2011,33.5,111.73,565,4281
64,3/6/2011,33.38,111.62,1411,1014
65,3/7/2011,33.37,111.61,1041,1014
66,3/8/2011,33.37,111.61,950,914
67,3/9/2011,33.38,111.62,1191,914
68,3/10/2011,33.39,111.63,1191,914
69,3/11/2011,33.4,111.64,1240,964
70,3/12/2011,33.4,111.64,1120,964
71,3/13/2011,33.35,111.59,1017,1464
72,3/14/2011,33.14,111.39,579,2835
73,3/15/2011,32.79,111.05,260,4204
74,3/16/2011,32.43,110.7,262,4245
75,3/17/2011,32.08,110.35,270,4228
76,3/18/2011,31.72,110,254,4212
77,3/19/2011,31.43,109.71,1028,4202
78,3/20/2011,31.12,109.4,788,4192
79,3/21/2011,30.77,109.04,205,4184
80,3/22/2011,30.46,108.73,641,3974
81,3/23/2011,30.16,108.42,638,3960
82,3/24/2011,29.84,108.09,407,3954
83,3/25/2011,29.57,107.8,902,3947
84,3/26/2011,29.28,107.5,802,3934
85,3/27/2011,29.03,107.23,1124,3928
86,3/28/2011,28.76,106.95,1021,2922
87,3/29/2011,0,106.64,0,0
88,3/30/2011,28.2,106.34,625,4109
89,3/31/2011,27.89,106,613,4097
90,4/1/2011,27.57,105.65,587,4089
91,4/2/2011,27.26,105.3,632,4082
92,4/3/2011,26.92,104.92,330,4073
93,4/4/2011,26.57,104.52,194,4068
94,4/5/2011,26.21,104.12,189,4063
95,4/6/2011,25.86,103.71,150,4056
96,4/7/2011,25.51,103.3,172,4048
97,4/8/2011,25.17,102.9,287,4041
98,4/9/2011,24.85,102.52,547,4036
99,4/10/2011,24.79,102.45,631,1125
100,4/11/2011,24.74,102.39,725,1122
101,4/12/2011,24.7,102.34,822,1122
102,4/13/2011,24.66,102.29,822,1122
