FLOW_DATE,y
1/1/2011,46.42
1/2/2011,46.54
1/3/2011,46.64
1/4/2011,46.69
1/5/2011,46.7
1/6/2011,46.74
1/7/2011,46.76
1/8/2011,46.78
1/9/2011,46.77
1/10/2011,46.74
1/11/2011,46.7
1/12/2011,46.45
1/13/2011,46.45
1/14/2011,46.13
1/15/2011,45.77
1/16/2011,45.45
1/17/2011,45.17
1/18/2011,44.95
1/19/2011,44.69
1/20/2011,44.44
1/21/2011,44.2
1/22/2011,43.94
1/23/2011,43.68
1/24/2011,43.45
1/25/2011,43.16
1/26/2011,42.59
1/27/2011,42.59
1/28/2011,42.34
1/29/2011,42.05
1/30/2011,41.79
1/31/2011,41.56
2/1/2011,41.3
2/2/2011,40.98
2/3/2011,40.66
2/4/2011,40.48
2/5/2011,40.42
2/6/2011,40.35
2/7/2011,40.29
2/8/2011,40.21
2/9/2011,40.12
2/10/2011,40.04
2/11/2011,39.94
2/12/2011,39.85
2/13/2011,39.64
2/14/2011,39.32
2/15/2011,38.97
2/16/2011,38.63
2/17/2011,38.27
2/18/2011,37.91
2/19/2011,37.55
2/20/2011,37.18
2/21/2011,36.81
2/22/2011,36.44
2/23/2011,36.09
2/24/2011,35.86
2/25/2011,35.61
2/26/2011,35.38
2/27/2011,35.13
2/28/2011,34.85
3/1/2011,34.51
3/2/2011,34.17
3/3/2011,33.83
3/4/2011,33.5
3/5/2011,33.5
3/6/2011,33.38
3/7/2011,33.37
3/8/2011,33.37
3/9/2011,33.38
3/10/2011,33.39
3/11/2011,33.4
3/12/2011,33.4
3/13/2011,33.35
3/14/2011,33.14
3/15/2011,32.79
3/16/2011,32.43
3/17/2011,32.08
3/18/2011,31.72
3/19/2011,31.43
3/20/2011,31.12
3/21/2011,30.77
3/22/2011,30.46
3/23/2011,30.16
3/24/2011,29.84
3/25/2011,29.57
3/26/2011,29.28
3/27/2011,29.03
3/28/2011,28.76
3/29/2011,0
3/30/2011,28.2
3/31/2011,27.89
4/1/2011,27.57
4/2/2011,27.26
4/3/2011,26.92
4/4/2011,26.57
4/5/2011,26.21
4/6/2011,25.86
4/7/2011,25.51
4/8/2011,25.17
4/9/2011,24.85
4/10/2011,24.79
4/11/2011,24.74
4/12/2011,24.7
4/13/2011,24.66
4/14/2011,24.64
4/15/2011,24.63
4/16/2011,24.63
4/17/2011,24.67
4/18/2011,24.72
